model, test_case, trials, image, blocksize_x, blocksize_y, rows, cols, total_pixels, avg_time(us)
GPGPU, baseline, 1000, earth_set/earth-10000-10000.jpg, 32, 4, 10000, 10000, 100000000, 894.263000
GPGPU, fastsqrt, 1000, earth_set/earth-7071-7071.jpg, 32, 1, 7071, 7071, 49999041, 986.866028
GPGPU, baseline, 1000, earth_set/earth-5000-5000.jpg, 32, 16, 5000, 5000, 25000000, 274.635986
GPGPU, fastsqrt, 1000, earth_set/earth-220-220.jpg, 32, 32, 220, 220, 48400, 8.371000
GPGPU, baseline, 1000, earth_set/earth-10000-10000.jpg, 22, 22, 10000, 10000, 100000000, 1027.499023
GPGPU, baseline, 1000, earth_set/earth-2500-2500.jpg, 32, 16, 2500, 2500, 6250000, 107.686996
GPGPU, baseline, 1000, earth_set/earth-1250-1250.jpg, 1, 1, 1250, 1250, 1562500, 1013.258972
GPGPU, baseline, 1000, earth_set/earth-1767-1767.jpg, 1, 1, 1767, 1767, 3122289, 1999.906006
GPGPU, fastsqrt, 1000, earth_set/earth-1767-1767.jpg, 32, 2, 1767, 1767, 3122289, 82.681000
GPGPU, fastsqrt, 1000, earth_set/earth-15000-15000.jpg, 22, 22, 15000, 15000, 225000000, 2160.754883
GPGPU, baseline, 1000, earth_set/earth-3535-3535.jpg, 32, 16, 3535, 3535, 12496225, 161.093994
GPGPU, fastsqrt, 1000, earth_set/earth-220-220.jpg, 1, 1, 220, 220, 48400, 35.098999
GPGPU, fastsqrt, 1000, earth_set/earth-5000-5000.jpg, 22, 22, 5000, 5000, 25000000, 280.272003
GPGPU, baseline, 1000, earth_set/earth-15000-15000.jpg, 32, 1, 15000, 15000, 225000000, 4876.460938
GPGPU, fastsqrt, 1000, earth_set/earth-1767-1767.jpg, 32, 8, 1767, 1767, 3122289, 75.713997
BASE, fastsqrt, 1000, earth_set/earth-10000-10000.jpg, , , 10000, 10000, 100000000, 53538.281250
GPGPU, fastsqrt, 1000, earth_set/earth-220-220.jpg, 32, 4, 220, 220, 48400, 7.214000
GPGPU, fastsqrt, 1000, earth_set/earth-441-441.jpg, 22, 22, 441, 441, 194481, 15.389000
GPGPU, fastsqrt, 1000, earth_set/earth-2500-2500.jpg, 4, 32, 2500, 2500, 6250000, 123.144997
GPGPU, baseline, 1000, earth_set/earth-5000-5000.jpg, 32, 2, 5000, 5000, 25000000, 313.950989
GPGPU, baseline, 1000, earth_set/earth-1250-1250.jpg, 32, 8, 1250, 1250, 1562500, 74.572998
GPGPU, fastsqrt, 1000, earth_set/earth-883-883.jpg, 32, 1, 883, 883, 779689, 54.716999
GPGPU, sharedmemory, 100, earth_set/earth-7071-7071.jpg, 32, 4, 7071, 7071, 49999041, 551.809998
GPGPU, fastsqrt, 1000, earth_set/earth-15000-15000.jpg, 32, 1, 15000, 15000, 225000000, 4666.941895
GPGPU, baseline, 1000, earth_set/earth-15000-15000.jpg, 22, 22, 15000, 15000, 225000000, 2281.663086
GPGPU, baseline, 1000, earth_set/earth-1250-1250.jpg, 32, 16, 1250, 1250, 1562500, 71.364998
